fecha,temperatura
20220822T0000,18.460245
20220822T0100,16.920246
20220822T0200,15.740245
20220822T0300,15.210245
20220822T0400,15.020246
20220822T0500,14.660245
20220822T0600,14.660245
20220822T0700,16.940245
20220822T0800,19.350245
20220822T0900,21.360245
20220822T1000,23.290245
20220822T1100,24.590246
20220822T1200,25.910246
20220822T1300,26.420246
20220822T1400,27.010244
20220822T1500,27.020245
20220822T1600,27.350245
20220822T1700,27.120245
20220822T1800,26.650246
20220822T1900,23.870245
20220822T2000,20.160246
20220822T2100,18.780245
20220822T2200,18.290245
20220822T2300,16.690245
20220823T0000,16.050245
20220823T0100,15.520246
20220823T0200,14.470245
20220823T0300,13.940246
20220823T0400,13.760245
20220823T0500,13.780245
20220823T0600,13.840245
20220823T0700,16.630245
20220823T0800,19.670246
20220823T0900,21.970245
20220823T1000,23.990246
20220823T1100,25.500246
20220823T1200,26.890245
20220823T1300,27.530245
20220823T1400,28.190245
20220823T1500,28.760244
20220823T1600,28.800245
20220823T1700,28.710245
20220823T1800,27.960245
20220823T1900,25.250246
20220823T2000,24.320246
20220823T2100,22.610245
20220823T2200,19.620245
20220823T2300,18.860245
20220824T0000,18.040245
20220824T0100,16.850245
20220824T0200,15.430245
20220824T0300,14.130245
20220824T0400,13.890245
20220824T0500,13.540245
20220824T0600,13.540245
20220824T0700,16.230246
20220824T0800,19.500246
20220824T0900,22.310246
20220824T1000,24.640245
20220824T1100,26.540245
20220824T1200,28.210245
20220824T1300,29.170246
20220824T1400,29.860245
20220824T1500,30.260244
20220824T1600,30.400246
20220824T1700,30.230246
20220824T1800,29.220245
20220824T1900,27.650246
20220824T2000,23.000246
20220824T2100,21.670246
20220824T2200,20.350245
20220824T2300,18.880245
20220825T0000,17.910246
20220825T0100,16.920246
20220825T0200,15.960245
20220825T0300,15.130245
20220825T0400,14.710245
20220825T0500,14.670245
20220825T0600,14.800245
20220825T0700,17.240246
20220825T0800,20.150246
20220825T0900,22.550245
20220825T1000,24.320246
20220825T1100,25.810246
20220825T1200,27.240246
20220825T1300,28.560246
20220825T1400,29.420246
20220825T1500,30.150246
20220825T1600,30.560246
20220825T1700,30.280245
20220825T1800,29.430244
20220825T1900,26.590246
20220825T2000,25.900246
20220825T2100,24.110245
20220825T2200,21.840246
20220825T2300,19.120245
20220826T0000,17.910246
20220826T0100,17.280245
20220826T0200,16.950245
20220826T0300,16.690245
20220826T0400,16.300245
20220826T0500,15.730246
20220826T0600,15.710245
20220826T0700,18.380245
20220826T0800,20.840246
20220826T0900,22.420246
20220826T1000,23.660246
20220826T1100,25.620245
20220826T1200,26.850245
20220826T1300,27.830246
20220826T1400,28.130245
20220826T1500,26.960245
20220826T1600,26.340246
20220826T1700,24.540245
20220826T1800,23.590246
20220826T1900,21.890245
20220826T2000,20.840246
20220826T2100,19.840246
20220826T2200,19.250246
20220826T2300,19.800245
20220827T0000,18.980246
20220827T0100,18.940245
20220827T0200,19.170246
20220827T0300,18.810246
20220827T0400,18.880245
20220827T0500,18.570246
20220827T0600,18.750246
20220827T0700,18.640245
20220827T0800,19.050245
20220827T0900,19.840246
20220827T1000,20.450245
20220827T1100,21.710245
20220827T1200,22.470245
20220827T1300,23.740246
20220827T1400,24.330246
20220827T1500,24.430244
20220827T1600,24.080246
20220827T1700,23.350245
20220827T1800,21.540245
20220827T1900,20.930244
20220827T2000,19.260244
20220827T2100,18.450245
20220827T2200,18.100245
20220827T2300,17.890245
20220828T0000,17.260244
20220828T0100,16.900246
20220828T0200,17.370245
20220828T0300,16.840246
20220828T0400,16.870245
20220828T0500,17.050245
20220828T0600,16.220245
20220828T0700,17.480246
20220828T0800,18.450245
20220828T0900,19.340246
20220828T1000,20.760244
20220828T1100,21.970245
20220828T1200,23.430244
20220828T1300,24.500246
20220828T1400,25.540245
20220828T1500,26.050245
20220828T1600,25.830246
20220828T1700,25.550245
20220828T1800,24.930244
20220828T1900,23.520245
20220828T2000,21.210245
20220828T2100,19.980246
20220828T2200,18.810246
20220828T2300,17.700245
